1	5631647
2	7156607
3	6275103
4	1727232
5	6550012
6	11886417
7	106224
8	5159168
9	6487675
10	2182710
11	565956
12	565339
13	397816
14	5424988
15	4914999
16	6556397
17	8221084
18	11123254
19	764312
20	8919282
21	2920378
22	1213708
23	5260982
24	11337114
25	3910308
26	10493775
27	1491895
28	1839439
29	729324
30	511529
31	9284419
32	1919360
33	1172798
34	4804629
35	6498658
36	6224176
37	6482022
38	3392762
39	4709325
40	4934937
41	1255289
42	4493253
43	458214
44	3031021
45	1925943
46	6175210
47	9473764
48	4680018
49	1657819
50	5104748
51	10488923
52	3419535
53	3041435
54	2469308
55	7057048
56	842050
57	10323778
58	244537
59	1489444
60	6349751
61	1966490
62	5856964
63	6135647
64	7141122
65	1753768
66	8699056
67	3604087
68	4864628
69	6321332
70	6830635
71	8291949
72	9770508
73	9230154
74	1207346
75	4023344
76	8649653
77	3747630
78	2265374
79	9896625
80	1146883
81	9858653
82	1229023
83	2302167
84	8473036
85	6548457
86	8856580
87	2013229
88	6559962
89	815170
90	223992
91	2257664
92	9668701
93	2612651
94	2191572
95	3684882
96	9541286
97	8763261
98	1829499
99	2752269
100	3341045
101	2815635
102	2538349
103	8240510
104	9086020
105	2016653
106	9087423
107	7401610
108	2960971
109	5518817
110	3859027
111	4168354
112	2943403
113	1726005
114	2196608
115	421223
116	3143996
117	1035030
118	user8241064
119	49478
120	1456401
121	1961144
122	1595669
123	1407491
124	1792292
125	6713758
126	5778463
127	6790078
128	4746677
129	7576056
130	176603
131	7955781
132	346905
133	3986005
134	8709966
135	6367660
136	8457060
137	7450125
138	2936450
139	5423014
140	487813
141	4729332
142	8008107
143	5013193
144	6460212
145	3990767
146	3008492
147	2347438
148	7545555
149	681045
150	7498330
151	4369087
152	2453432
153	1231443
154	7656367
155	1172545
156	4894466
157	5459839
158	6359551
159	5827005
160	1907917
161	7498878
162	1841760
163	4535200
164	5519659
165	1248114
166	2367057
167	7177498
168	590459
169	2938037
170	user8140418
171	2003518
172	6521116
173	1518921
174	257493
175	1234924
176	976343
177	507674
178	2167021
179	40015
180	3840799
181	324584
182	26210
183	2689343
184	870929
185	1403638
186	5173081
187	2901635
188	2630732
189	5711830
190	3255640
191	1353011
192	5060753
193	2082141
194	2497154
195	5173426
196	4447311
197	1150448
198	1059477
199	5085275
200	2834490
201	689579
202	1441828
203	3933332
204	2471423
205	4774312
206	4831515
207	2792592
208	3828166
209	1496567
210	1427345
211	758554
212	904360
213	631764
214	118068
215	3231139
216	4020127
217	2844319
218	1281385
219	1662139
220	862594
221	3640825
222	2687506
223	1389232
224	2109568
225	2351167
226	3049350
227	1450077
228	3691364
229	3059284
230	1665955
231	646056
232	1386649
233	2990820
234	2511140
235	398060
236	476
237	2427538
238	1304684
239	2304034
240	2034876
241	1948260
242	1899791
243	1813563
244	655430
245	1332569
246	158014
247	172588
248	465738
