post_type_id	tags	reputation	user_id	user_type	accept_rate	profile_image	display_name	link	is_answered	view_count	accepted_answer_id	answer_count	score	last_activity_date	creation_date	last_edited_date	post_id	parent_id	link	title
1	"['php', 'arrays', 'string']"	104	455676	registered	68	https://www.gravatar.com/avatar/613ffe7582f17f108c283ad9500acb08?s=128&d=identicon&r=PG	Bastien	https://stackoverflow.com/users/455676/bastien	TRUE	11447	3784328	10	6	1560591007	1285304500	N/A	3784306	N/A	https://stackoverflow.com/questions/3784306/how-can-i-easily-remove-the-last-comma-from-an-array	How can I easily remove the last comma from an array?
1	"['php', 'arrays', 'string']"	39	11123254	registered	N/A	https://www.gravatar.com/avatar/6175fe5288c74223f5ee6e7e55cc4353?s=128&d=identicon&r=PG&f=1	Jeanie Miflin	https://stackoverflow.com/users/11123254/jeanie-miflin	TRUE	49	56592895	2	1	1560496086	1560494487	N/A	56592786	N/A	https://stackoverflow.com/questions/56592786/imploding-a-regex-array-into-a-single-string	Imploding a regex array into a single string
1	"['php', 'arrays', 'string']"	20	9860030	registered	N/A	https://www.gravatar.com/avatar/81f40593e4da6b07198ad82476780731?s=128&d=identicon&r=PG&f=1	Ulrich_Peters	https://stackoverflow.com/users/9860030/ulrich-peters	TRUE	44	56508626	5	1	1560017643	1560014209	N/A	56508564	N/A	https://stackoverflow.com/questions/56508564/build-string-on-one-line-php	Build string on one line PHP
1	"['php', 'arrays', 'string']"	1	3004909	registered	N/A	https://www.gravatar.com/avatar/f1ca7fa928c4fb26bf7f51f66f49f78a?s=128&d=identicon&r=PG&f=1	user3004909	https://stackoverflow.com/users/3004909/user3004909	FALSE	65	N/A	2	-1	1559830127	1559710423	N/A	56454426	N/A	https://stackoverflow.com/questions/56454426/selecting-multiple-substrings-from-a-string	Selecting multiple substrings from a string
1	"['php', 'arrays', 'string']"	2381	326544	registered	97	https://www.gravatar.com/avatar/ee3b7f0846ba3e3408ed94739a6757d2?s=128&d=identicon&r=PG	Zac Brown	https://stackoverflow.com/users/326544/zac-brown	TRUE	30573	4120628	6	17	1558067546	1289178150	N/A	4120589	N/A	https://stackoverflow.com/questions/4120589/remove-string-from-php-array	Remove string from PHP array?
1	"['php', 'arrays', 'string']"	6	9772227	registered	N/A	https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=128	Scott Whit	https://stackoverflow.com/users/9772227/scott-whit	TRUE	38	N/A	1	1	1556650939	1556646672	N/A	55926319	N/A	https://stackoverflow.com/questions/55926319/how-do-i-print-array-within-array	How do I print array within array?
1	"['php', 'arrays', 'string']"	38	10570973	registered	N/A	https://lh6.googleusercontent.com/-HhVT-YLpBdA/AAAAAAAAAAI/AAAAAAAAAAA/ABtNlbBAffTnpiDpjp_GTYuk9xBJC0ZRbw/mo/photo.jpg?sz=128	Alfredo Aguin Figueiro	https://stackoverflow.com/users/10570973/alfredo-aguin-figueiro	TRUE	21	55678061	1	-3	1555262868	1555261634	N/A	55677890	N/A	https://stackoverflow.com/questions/55677890/how-i-can-writte-this-in-php-for-strings-and-no-give-me-error	How i can writte this in php for strings and no give me error
1	"['php', 'arrays', 'string']"	4	10083779	registered	N/A	https://lh6.googleusercontent.com/-pKJEsOgzZns/AAAAAAAAAAI/AAAAAAAAAa0/JWXccEt_9jk/photo.jpg?sz=128	Ph&#250; Triệu	https://stackoverflow.com/users/10083779/ph%c3%ba-tri%e1%bb%87u	TRUE	55	51347807	4	-4	1555157103	1531652653	N/A	51347759	N/A	https://stackoverflow.com/questions/51347759/i-just-started-learning-php-how-to-find-and-print-the-longest-word-in-a-php-arr	I just started learning PHP. How to find and print the longest word in a PHP array
1	"['php', 'arrays', 'string']"	2507	1183662	registered	80	https://www.gravatar.com/avatar/4fedfbf28dd3d7812249c43276e43b20?s=128&d=identicon&r=PG	Ing. Michal Hudak	https://stackoverflow.com/users/1183662/ing-michal-hudak	TRUE	3247	23955453	5	-4	1555057445	1401455280	N/A	23955393	N/A	https://stackoverflow.com/questions/23955393/php-divide-string-by-new-line-n-character	PHP divide string by new line(\n) character
1	"['php', 'arrays', 'string']"	140	2451357	registered	44	https://www.gravatar.com/avatar/9124685fe018f3e36c4abcf9afe89b82?s=128&d=identicon&r=PG	dofenco	https://stackoverflow.com/users/2451357/dofenco	TRUE	9371	N/A	2	9	1554804255	1371651263	N/A	17193597	N/A	https://stackoverflow.com/questions/17193597/strings-as-arrays-in-php	Strings as arrays in php
