"X1727232"	"X434269"
"X6550012"	"X413225"
"X106224"	"X434269"
"X106224"	"X1298102"
"X106224"	"X408482"
"X106224"	"X1173600"
"X729324"	"X434269"
"X511529"	"X2451357"
"X1753768"	"X434269"
"X1207346"	"X4608052"
"X1207346"	"X736348"
"X4023344"	"X4608052"
"X8473036"	"X434269"
"X223992"	"X5199242"
"X2257664"	"X5199242"
"X2257664"	"X1477313"
"X9668701"	"X5199242"
"X3859027"	"X3160747"
"X3859027"	"X1830228"
"X3859027"	"X989440"
"X3859027"	"X2746365"
"X2196608"	"X413225"
"X421223"	"X413225"
"X421223"	"X569403"
"X421223"	"X939488"
"X3143996"	"X413225"
"X1035030"	"X413225"
"user8241064"	"X413225"
"X49478"	"X413225"
"X1407491"	"X434269"
"X1234924"	"X434269"
"X2167021"	"X413225"
"X324584"	"X434269"
"X324584"	"X2218579"
"X324584"	"X3085990"
"X324584"	"X4111907"
"X324584"	"X2600831"
"X26210"	"X434269"
"X2689343"	"X434269"
"X870929"	"X434269"
"X1403638"	"X434269"
"X3828166"	"X434269"
"X1496567"	"X434269"
"X1427345"	"X434269"
"X758554"	"X413225"
"X904360"	"X434269"
"X2109568"	"X434269"
"X1665955"	"X434269"
"X1386649"	"X434269"
"X2511140"	"X434269"
"X476"	"X2451357"
"X476"	"X3800879"
"X476"	"X1477313"
"X476"	"X1254256"
"X476"	"X3783161"
"X476"	"X677756"
"X476"	"X511488"
"X476"	"X569403"
"X476"	"X277304"
"X2304034"	"X434269"
"X2034876"	"X434269"
"X1813563"	"X434269"
"X655430"	"X434269"
"X206403"	"X413225"
"X206403"	"X1907444"
"X206403"	"X596952"
"X206403"	"X307007"
"X341275"	"X434269"
"X6815740"	"X1298102"
"X6308838"	"X1477313"
"X6110451"	"X732825"
"X1196954"	"X1477313"
"X4969969"	"X1477313"
"X1147680"	"X1477313"
"X1545088"	"X1477313"
"X5240569"	"X732825"
"X247372"	"X732825"
"X1190388"	"X1298102"
"X727208"	"X1298102"
"X1278353"	"X1298102"
"X88487"	"X732825"
"X468027"	"X732825"
"X385378"	"X732825"
"X385378"	"X457827"
"X385378"	"X383609"
"X345031"	"X732825"
"X345031"	"X4018957"
"X345031"	"X665871"
"X345031"	"X707852"
"X345031"	"X606346"
"X729539"	"X732825"
"X273141"	"X732825"
"X215966"	"X732825"
"X1338292"	"X3160747"
"X1338292"	"X3334483"
"X1338292"	"X1977569"
"X1338292"	"X3056836"
"user5134807"	"X4725592"
"user4039035"	"X2218579"
"X1528407"	"X2218579"
"X4031969"	"X2218579"
"X3355051"	"X3160747"
"X3709765"	"X3160747"
"X3709765"	"X4725592"
"X2899618"	"X3160747"
"X2899618"	"X3085990"
"X1230257"	"X3160747"
"X4643607"	"X4725592"
"X4903314"	"X4725592"
"X284325"	"X3085990"
"X284325"	"X2348091"
"X3631503"	"X2348091"
"X4469738"	"X4018957"
"X4645291"	"X4018957"
"X2743458"	"X4018957"
"X3160747"	"X4639383"
"X1449801"	"X4639383"
"X3653989"	"X4639383"
